dataset,param,Rhat_all,Rhat_m1_all,ESS_all,drift_all,Rhat_new,Rhat_m1_new,ESS_new,drift_new
planck_only,H0,1.403235,0.403235,39.6,-0.5013,1.403235,0.403235,39.6,-0.5013
planck_only,delta_neff,1.684550,0.684550,36.9,-0.7959,1.684550,0.684550,36.9,-0.7959
planck_only,omegam,1.241910,0.241910,50.5,,1.241910,0.241910,50.5,
planck_only,ombh2,1.229413,0.229413,80.9,,1.229413,0.229413,80.9,
planck_only,ns,1.501226,0.501226,40.0,,1.501226,0.501226,40.0,
planck_only,tau,1.862421,0.862421,39.8,,1.862421,0.862421,39.8,
planck_only,sigma8,1.587133,0.587133,41.5,,1.587133,0.587133,41.5,
planck_bao,H0,1.341267,0.341267,59.4,-0.1357,1.341267,0.341267,59.4,-0.1357
planck_bao,delta_neff,1.854105,0.854105,43.0,-0.1380,1.854105,0.854105,43.0,-0.1380
planck_bao,omegam,1.209149,0.209149,90.5,,1.209149,0.209149,90.5,
planck_bao,ombh2,1.334608,0.334608,123.5,,1.334608,0.334608,123.5,
planck_bao,ns,1.268198,0.268198,81.0,,1.268198,0.268198,81.0,
planck_bao,tau,2.611229,1.611229,36.2,,2.611229,1.611229,36.2,
planck_bao,sigma8,1.556181,0.556181,62.6,,1.556181,0.556181,62.6,
planck_bao_sn,H0,1.271749,0.271749,88.7,-0.2772,1.271749,0.271749,88.7,-0.2772
planck_bao_sn,delta_neff,1.680662,0.680662,47.7,-0.3499,1.680662,0.680662,47.7,-0.3499
planck_bao_sn,omegam,1.217335,0.217335,95.6,,1.217335,0.217335,95.6,
planck_bao_sn,ombh2,1.453621,0.453621,89.9,,1.453621,0.453621,89.9,
planck_bao_sn,ns,1.333388,0.333388,90.4,,1.333388,0.333388,90.4,
planck_bao_sn,tau,1.832648,0.832648,61.8,,1.832648,0.832648,61.8,
planck_bao_sn,sigma8,1.555758,0.555758,43.4,,1.555758,0.555758,43.4,
full_tension,H0,1.049045,0.049045,59.1,-0.0753,1.049045,0.049045,59.1,-0.0753
full_tension,delta_neff,1.150680,0.150680,43.0,-0.0657,1.150680,0.150680,43.0,-0.0657
full_tension,omegam,1.043627,0.043627,110.0,,1.043627,0.043627,110.0,
full_tension,ombh2,1.151137,0.151137,68.7,,1.151137,0.151137,68.7,
full_tension,ns,1.378175,0.378175,61.7,,1.378175,0.378175,61.7,
full_tension,tau,1.935431,0.935431,55.2,,1.935431,0.935431,55.2,
full_tension,sigma8,1.579884,0.579884,64.8,,1.579884,0.579884,64.8,
