dataset,param,Rhat,Rhat_m1,ESS,drift
planck_only,H0,1.001129,0.001129,461.0,-0.0705
planck_only,omegam,1.000975,0.000975,425.1,
planck_only,ombh2,1.001302,0.001302,1068.6,
planck_only,ns,1.001112,0.001112,360.9,
planck_only,tau,1.005268,0.005268,249.7,
planck_only,sigma8,1.004594,0.004594,536.7,
planck_bao,H0,1.001761,0.001761,586.5,-0.0494
planck_bao,omegam,1.001799,0.001799,517.3,
planck_bao,ombh2,1.000774,0.000774,803.4,
planck_bao,ns,1.001637,0.001637,629.5,
planck_bao,tau,1.006610,0.006610,325.0,
planck_bao,sigma8,1.005361,0.005361,290.9,
planck_bao_sn,H0,1.000505,0.000505,1369.1,-0.0169
planck_bao_sn,omegam,1.000552,0.000552,1397.6,
planck_bao_sn,ombh2,1.000266,0.000266,1041.9,
planck_bao_sn,ns,1.000222,0.000222,783.0,
planck_bao_sn,tau,1.003772,0.003772,351.1,
planck_bao_sn,sigma8,1.001357,0.001357,423.7,
full_tension,H0,1.003986,0.003986,488.5,-0.1064
full_tension,omegam,1.003493,0.003493,480.0,
full_tension,ombh2,1.003154,0.003154,1045.6,
full_tension,ns,1.007610,0.007610,275.5,
full_tension,tau,1.001475,0.001475,220.9,
full_tension,sigma8,1.002705,0.002705,261.8,
