dataset,chain_dir,samples,yaml_path
full_tension,full_tension,233,cosmology/cobaya_full_tension.yaml
full_tension,full_tension_chain2,640,configs/cobaya_full_tension_chain2.yaml
full_tension,full_tension_chain3,559,configs/cobaya_full_tension_chain3.yaml
full_tension,full_tension_chain4,669,configs/cobaya_full_tension_chain4.yaml
full_tension,full_tension_chain5,631,configs/cobaya_full_tension_chain5.yaml
full_tension,full_tension_chain6,768,configs/cobaya_full_tension_chain6.yaml
full_tension,full_tension_chain7,566,configs/cobaya_full_tension_chain7.yaml
planck_bao,planck_bao,95,cosmology/cobaya_planck_bao.yaml
planck_bao,planck_bao_chain2,387,configs/cobaya_planck_bao_chain2.yaml
planck_bao,planck_bao_chain3,374,configs/cobaya_planck_bao_chain3.yaml
planck_bao,planck_bao_chain4,256,configs/cobaya_planck_bao_chain4.yaml
planck_bao,planck_bao_chain5,264,configs/cobaya_planck_bao_chain5.yaml
planck_bao,planck_bao_chain6,318,configs/cobaya_planck_bao_chain6.yaml
planck_bao,planck_bao_chain7,338,configs/cobaya_planck_bao_chain7.yaml
planck_bao_sn,planck_bao_sn,89,cosmology/cobaya_planck_bao_sn.yaml
planck_bao_sn,planck_bao_sn_chain2,274,configs/cobaya_planck_bao_sn_chain2.yaml
planck_bao_sn,planck_bao_sn_chain3,296,configs/cobaya_planck_bao_sn_chain3.yaml
planck_bao_sn,planck_bao_sn_chain4,369,configs/cobaya_planck_bao_sn_chain4.yaml
planck_bao_sn,planck_bao_sn_chain5,433,configs/cobaya_planck_bao_sn_chain5.yaml
planck_bao_sn,planck_bao_sn_chain6,395,configs/cobaya_planck_bao_sn_chain6.yaml
planck_bao_sn,planck_bao_sn_chain7,364,configs/cobaya_planck_bao_sn_chain7.yaml
planck_only,planck_only,117,cosmology/cobaya_planck.yaml
planck_only,planck_only_chain2,267,configs/cobaya_planck_only_chain2.yaml
planck_only,planck_only_chain3,288,configs/cobaya_planck_only_chain3.yaml
planck_only,planck_only_chain4,276,configs/cobaya_planck_only_chain4.yaml
planck_only,planck_only_chain5,330,configs/cobaya_planck_only_chain5.yaml
planck_only,planck_only_chain6,360,configs/cobaya_planck_only_chain6.yaml
planck_only,planck_only_chain7,322,configs/cobaya_planck_only_chain7.yaml
