dataset_id,name,version,source_url,track,description,access_method,license,hash,size_estimate,storage_path,notes
planck2018_params,Planck 2018 Cosmological Parameters,PR3,https://arxiv.org/abs/1807.06209,wp4/p6,Planck 2018 results VI cosmological parameters — Table 2 ΛCDM and extended model constraints,literature (no download needed),CC-BY-4.0,,N/A,N/A,Reference values only; no raw data download required
planck_pr4_npipe_maps,Planck PR4 (NPIPE) Frequency Maps,PR4/NPIPE,https://pla.esac.esa.int/#maps,p6,"NPIPE reprocessed frequency maps: 100/143/217/353 GHz (HFI polarization channels) + 70 GHz (LFI). Includes A/B detector splits for null tests. SEVEM and Commander CMB maps.",download from Planck Legacy Archive,ESA-PSL,,~12 GB (frequency maps) + ~1 GB (masks + CMB maps),/workspace/bigbounce/research/paper2/p6_cmb_eb_pipeline/data/planck_pr4/,"Exact files: HFI_SkyMap_{freq}_2048_R4.00_full.fits for freq in {100,143,217,353}; HFI_SkyMap_{freq}_2048_R4.00_{A,B}.fits for splits; LFI_SkyMap_070_1024_R4.00_full.fits; common_mask_*.fits"
planck_pr4_eb_results,Planck PR4 EB Published Results,PR4,https://arxiv.org/abs/2203.04830,p6,Published β values from Eskilt (2022) and Zagatti+(2025) PR4 map-space analysis,literature,public,,N/A,N/A,"β = 0.30° ± 0.11° (Eskilt 2022 PR4 spectrum-level); β = 0.46° ± 0.04°(stat) ± 0.28°(syst) (Zagatti 2025 map-level)"
bbn_constraints,BBN Light Element Abundances — 2024 Update,2024,https://arxiv.org/abs/2401.15054,wp4,"Burns+(2024): ΔNeff = -0.10 ± 0.21 from light elements alone; Ωbh² = 0.02218 ± 0.00055",literature,public,,N/A,N/A,Conservative marginalization over nuclear rates via PRyMordial code
galaxy_zoo_labels,Galaxy Zoo DECaLS Labels,DR5,https://zenodo.org/records/4573248,p7,"Galaxy Zoo volunteer classifications for DECaLS galaxies. ~314k galaxies with morphology votes including spiral winding direction (CW/CCW).",zenodo download,CC-BY-4.0,,~500 MB (CSV),/workspace/bigbounce/research/paper2/p7_cnn_spin_classifier/data/gz_decals_volunteers.csv,Walmsley+(2022) MNRAS 509:3966
sdss_imaging,SDSS Imaging Cutouts,DR17,https://skyserver.sdss.org/dr17/SkyServerWS/ImgCutout/getjpeg,p7,SDSS galaxy image cutouts (128×128 RGB JPEG) via SkyServer REST API,HTTP GET per object,public,,~2-5 GB for 10k-50k cutouts,/workspace/bigbounce/research/paper2/p7_cnn_spin_classifier/data/images/,Rate-limited to 2 req/sec; failures logged to download_failures.csv
paper1_posteriors,BigBounce Paper 1 MCMC Posteriors,v1.2.0 (chains in progress),local:reproducibility/chains/,wp4/wp5,Posterior chains from Paper 1 canonical MCMC runs (CPU#1 pod). Parameters: H0/ΔNeff/Ωm/Ωbh²/ns/τ/σ₈. Not yet converged as of 2026-03-05.,internal-only (scp from RunPod),NOT PUBLIC — internal research artifact,,~50-200 MB per dataset (4 datasets × 4 chains),NOT distributed; local copy only after convergence,"INTERNAL ONLY. Do NOT reference as public dataset. Chains still running on CPU#1 pod m4xpnxzgokd93f. Will be available after freeze_check passes. Access: scp from RunPod."
shamir_galaxy_spins,Galaxy Spin Asymmetry Counts,2024,https://arxiv.org/abs/2401.09450,wp5,"CW/CCW galaxy counts reconstructed from published tables in Shamir (2024 JWST JADES). Not a downloadable catalog — values extracted from paper Tables 1-3.",reconstructed from paper tables,public (published figures/tables),sha256:c43fd88645a590c3a1efc07b563e01ec8b7f5090f183e3a7de56c61b390f3989,<1 MB (CSV),/workspace/bigbounce/research/paper2/wp5_spin_amplitude/data/galaxy_spin_counts.csv,"METHOD: Manual extraction from published tables. Columns: survey, N_CW, N_CCW, N_total, A_obs, sigma_A, sky_region. See data file header for exact table references."
minami_komatsu_beta,CMB Birefringence β — Minami & Komatsu,2020,https://arxiv.org/abs/2011.11254,p6,"β = 0.35° ± 0.14° (68% CL) from Planck 2018 HFI EB cross-correlation",literature,public,,N/A,N/A,First >2σ detection of isotropic cosmic birefringence
eskilt_beta,CMB Birefringence β — Eskilt PR4,2022,https://arxiv.org/abs/2205.13962,p6,"Frequency-dependent β from Planck PR4: β = 0.30° ± 0.11° (68% CL). Checks frequency dependence to separate from Galactic dust EB.",literature,public,,N/A,N/A,A&A 662:A10
diego_palazuelos_beta,CMB Birefringence β — ACT DR6,2025,https://arxiv.org/abs/2509.13654,p6,"ACT DR6 birefringence: β = 0.215° ± 0.074° (2.9σ). Independent of Planck systematics.",literature,public,,N/A,N/A,Diego-Palazuelos & Komatsu (2025); GitHub: pdp79/act_dr6_analysis
spider_birefringence,SPIDER+Planck+ACT Combined β,2025,https://arxiv.org/abs/2510.25489,p6,"Combined SPIDER+Planck+ACT: 7σ detection of cosmic birefringence",literature,public,,N/A,N/A,SPIDER Collaboration (2025)
